# ell   TT    EE     BB    TE    PP    TP    EP
   496   3.0412655e+03   1.0605886e+01   0.0000000e+00  -7.8320387e+01   1.9260755e-08   1.4929052e-12   3.2998589e-13
   497   3.0520901e+03   1.0451401e+01   0.0000000e+00  -7.7202859e+01   1.9205258e-08   1.4720417e-12   3.2277192e-13
   498   3.0627056e+03   1.0301130e+01   0.0000000e+00  -7.6055338e+01   1.9149998e-08   1.4518999e-12   3.1559662e-13
   499   3.0731026e+03   1.0155164e+01   0.0000000e+00  -7.4878518e+01   1.9094960e-08   1.4324592e-12   3.0846697e-13
   500   3.0832718e+03   1.0013694e+01   0.0000000e+00  -7.3672993e+01   1.9040148e-08   1.4136993e-12   3.0139013e-13
   501   3.0932035e+03   9.8767099e+00   0.0000000e+00  -7.2439647e+01   1.8985561e-08   1.3956028e-12   2.9437191e-13
   502   3.1028981e+03   9.7444060e+00   0.0000000e+00  -7.1179328e+01   1.8931195e-08   1.3781601e-12   2.8741238e-13
   503   3.1123458e+03   9.6167753e+00   0.0000000e+00  -6.9892673e+01   1.8877056e-08   1.3613659e-12   2.8051064e-13
   504   3.1215468e+03   9.4941113e+00   0.0000000e+00  -6.8580820e+01   1.8823138e-08   1.3452130e-12   2.7366544e-13
   505   3.1305113e+03   9.3763075e+00   0.0000000e+00  -6.7244506e+01   1.8769440e-08   1.3296954e-12   2.6687575e-13
   506   3.1392195e+03   9.2635573e+00   0.0000000e+00  -6.5884569e+01   1.8715962e-08   1.3148064e-12   2.6014038e-13
   507   3.1476816e+03   9.1559742e+00   0.0000000e+00  -6.4501845e+01   1.8662707e-08   1.3005401e-12   2.5345831e-13
   508   3.1558880e+03   9.0536518e+00   0.0000000e+00  -6.3097274e+01   1.8609665e-08   1.2868896e-12   2.4682836e-13
   509   3.1638286e+03   8.9566634e+00   0.0000000e+00  -6.1671691e+01   1.8556842e-08   1.2738488e-12   2.4024946e-13
   510   3.1715239e+03   8.8650925e+00   0.0000000e+00  -6.0226035e+01   1.8504232e-08   1.2614110e-12   2.3372042e-13
   511   3.1789439e+03   8.7790126e+00   0.0000000e+00  -5.8761044e+01   1.8451843e-08   1.2495702e-12   2.2724023e-13
   512   3.1861089e+03   8.6984972e+00   0.0000000e+00  -5.7277653e+01   1.8399667e-08   1.2383200e-12   2.2080775e-13
   513   3.1929992e+03   8.6236398e+00   0.0000000e+00  -5.5776802e+01   1.8347704e-08   1.2276537e-12   2.1442185e-13
   514   3.1996149e+03   8.5545138e+00   0.0000000e+00  -5.4259228e+01   1.8295954e-08   1.2175651e-12   2.0808142e-13
   515   3.2059562e+03   8.4911827e+00   0.0000000e+00  -5.2725868e+01   1.8244420e-08   1.2080480e-12   2.0178538e-13
   516   3.2120233e+03   8.4337300e+00   0.0000000e+00  -5.1177760e+01   1.8193093e-08   1.1990955e-12   1.9553257e-13
   517   3.2178066e+03   8.3822091e+00   0.0000000e+00  -4.9615640e+01   1.8141977e-08   1.1907019e-12   1.8932195e-13
   518   3.2232961e+03   8.3367036e+00   0.0000000e+00  -4.8040548e+01   1.8091068e-08   1.1828601e-12   1.8315232e-13
   519   3.2285021e+03   8.2972668e+00   0.0000000e+00  -4.6453419e+01   1.8040371e-08   1.1755642e-12   1.7702263e-13
   520   3.2334048e+03   8.2639624e+00   0.0000000e+00  -4.4855092e+01   1.7989881e-08   1.1688078e-12   1.7093178e-13
   521   3.2380145e+03   8.2368636e+00   0.0000000e+00  -4.3246605e+01   1.7939598e-08   1.1625841e-12   1.6487860e-13
   522   3.2423212e+03   8.2160241e+00   0.0000000e+00  -4.1628794e+01   1.7889520e-08   1.1568873e-12   1.5886205e-13
   523   3.2463153e+03   8.2014972e+00   0.0000000e+00  -4.0002597e+01   1.7839646e-08   1.1517104e-12   1.5288095e-13
   524   3.2500170e+03   8.1933165e+00   0.0000000e+00  -3.8369052e+01   1.7789980e-08   1.1470477e-12   1.4693427e-13
   525   3.2534064e+03   8.1915255e+00   0.0000000e+00  -3.6728996e+01   1.7740511e-08   1.1428920e-12   1.4102081e-13
   526   3.2565038e+03   8.1961575e+00   0.0000000e+00  -3.5083367e+01   1.7691250e-08   1.1392378e-12   1.3513955e-13
   527   3.2592994e+03   8.2072562e+00   0.0000000e+00  -3.3433102e+01   1.7642190e-08   1.1360781e-12   1.2928932e-13
   528   3.2617934e+03   8.2248648e+00   0.0000000e+00  -3.1779238e+01   1.7593330e-08   1.1334068e-12   1.2346903e-13
   529   3.2639861e+03   8.2490071e+00   0.0000000e+00  -3.0122514e+01   1.7544665e-08   1.1312172e-12   1.1767754e-13
   530   3.2658876e+03   8.2797063e+00   0.0000000e+00  -2.8464167e+01   1.7496207e-08   1.1295033e-12   1.1191380e-13
   531   3.2674781e+03   8.3170059e+00   0.0000000e+00  -2.6805034e+01   1.7447942e-08   1.1282585e-12   1.0617665e-13
   532   3.2687779e+03   8.3609095e+00   0.0000000e+00  -2.5146352e+01   1.7399874e-08   1.1274764e-12   1.0046499e-13
   533   3.2697771e+03   8.4114406e+00   0.0000000e+00  -2.3488860e+01   1.7352001e-08   1.1271507e-12   9.4777722e-14
   534   3.2704660e+03   8.4686225e+00   0.0000000e+00  -2.1833795e+01   1.7304325e-08   1.1272752e-12   8.9113748e-14
   535   3.2708649e+03   8.5324888e+00   0.0000000e+00  -2.0181993e+01   1.7256846e-08   1.1278431e-12   8.3471927e-14
   536   3.2709538e+03   8.6030429e+00   0.0000000e+00  -1.8534694e+01   1.7209555e-08   1.1288482e-12   7.7851153e-14
   537   3.2707531e+03   8.6802884e+00   0.0000000e+00  -1.6892633e+01   1.7162461e-08   1.1302842e-12   7.2250335e-14
   538   3.2702529e+03   8.7642386e+00   0.0000000e+00  -1.5256850e+01   1.7115557e-08   1.1321448e-12   6.6668361e-14
   539   3.2694635e+03   8.8548770e+00   0.0000000e+00  -1.3628380e+01   1.7068845e-08   1.1344233e-12   6.1104107e-14
   540   3.2683650e+03   8.9522072e+00   0.0000000e+00  -1.2008063e+01   1.7022322e-08   1.1371137e-12   5.5556477e-14
   541   3.2669877e+03   9.0562426e+00   0.0000000e+00  -1.0396834e+01   1.6975992e-08   1.1402095e-12   5.0024361e-14
   542   3.2653218e+03   9.1669667e+00   0.0000000e+00  -8.7957328e+00   1.6929845e-08   1.1437039e-12   4.4506631e-14
   543   3.2633575e+03   9.2843729e+00   0.0000000e+00  -7.2056254e+00   1.6883888e-08   1.1475912e-12   3.9002201e-14
   544   3.2611150e+03   9.4084548e+00   0.0000000e+00  -5.6274398e+00   1.6838114e-08   1.1518645e-12   3.3509945e-14
   545   3.2585945e+03   9.5391657e+00   0.0000000e+00  -4.0620334e+00   1.6792530e-08   1.1565177e-12   2.8028764e-14
   546   3.2557863e+03   9.6765092e+00   0.0000000e+00  -2.5102738e+00   1.6747130e-08   1.1615443e-12   2.2557542e-14
   547   3.2527005e+03   9.8204388e+00   0.0000000e+00  -9.7304850e-01   1.6701913e-08   1.1669380e-12   1.7095172e-14
   548   3.2493374e+03   9.9708478e+00   0.0000000e+00   5.4879507e-01   1.6656879e-08   1.1726921e-12   1.1640542e-14
   549   3.2456972e+03   1.0127930e+01   0.0000000e+00   2.0543564e+00   1.6612027e-08   1.1788006e-12   6.1925469e-15
   550   3.2417801e+03   1.0291378e+01   0.0000000e+00   3.5427769e+00   1.6567356e-08   1.1852571e-12   7.5007553e-16
   551   3.2376062e+03   1.0461389e+01   0.0000000e+00   5.0131495e+00   1.6522864e-08   1.1920554e-12  -4.6876652e-15
   552   3.2331553e+03   1.0637763e+01   0.0000000e+00   6.4645662e+00   1.6478556e-08   1.1991915e-12  -1.0120207e-14
   553   3.2284472e+03   1.0820504e+01   0.0000000e+00   7.8961154e+00   1.6434420e-08   1.2066606e-12  -1.5546759e-14
   554   3.2234915e+03   1.1009618e+01   0.0000000e+00   9.3069057e+00   1.6390467e-08   1.2144593e-12  -2.0966539e-14
   555   3.2182781e+03   1.1205007e+01   0.0000000e+00   1.0696015e+01   1.6346692e-08   1.2225834e-12  -2.6378762e-14
   556   3.2128066e+03   1.1406676e+01   0.0000000e+00   1.2062533e+01   1.6303089e-08   1.2310285e-12  -3.1782630e-14
   557   3.2071067e+03   1.1614528e+01   0.0000000e+00   1.3405646e+01   1.6259665e-08   1.2397910e-12  -3.7177369e-14
   558   3.2011582e+03   1.1828567e+01   0.0000000e+00   1.4724405e+01   1.6216416e-08   1.2488668e-12  -4.2562191e-14
   559   3.1949708e+03   1.2048698e+01   0.0000000e+00   1.6018166e+01   1.6173341e-08   1.2582515e-12  -4.7936302e-14
   560   3.1885442e+03   1.2274924e+01   0.0000000e+00   1.7286089e+01   1.6130443e-08   1.2679416e-12  -5.3298931e-14
   561   3.1818982e+03   1.2507049e+01   0.0000000e+00   1.8527331e+01   1.6087713e-08   1.2779324e-12  -5.8649268e-14
   562   3.1750124e+03   1.2745177e+01   0.0000000e+00   1.9741352e+01   1.6045155e-08   1.2882204e-12  -6.3986545e-14
   563   3.1679067e+03   1.2989111e+01   0.0000000e+00   2.0927110e+01   1.6002770e-08   1.2988014e-12  -6.9309978e-14
   564   3.1605906e+03   1.3238857e+01   0.0000000e+00   2.2083963e+01   1.5960554e-08   1.3096710e-12  -7.4618755e-14
   565   3.1530440e+03   1.3494318e+01   0.0000000e+00   2.3211269e+01   1.5918510e-08   1.3208257e-12  -7.9912123e-14
   566   3.1452866e+03   1.3755497e+01   0.0000000e+00   2.4308388e+01   1.5876635e-08   1.3322612e-12  -8.5189280e-14
   567   3.1373280e+03   1.4022099e+01   0.0000000e+00   2.5374476e+01   1.5834928e-08   1.3439734e-12  -9.0449440e-14
   568   3.1291581e+03   1.4294228e+01   0.0000000e+00   2.6408994e+01   1.5793389e-08   1.3559584e-12  -9.5691814e-14
   569   3.1207865e+03   1.4571786e+01   0.0000000e+00   2.7411299e+01   1.5752015e-08   1.3682119e-12  -1.0091562e-13
   570   3.1122129e+03   1.4854580e+01   0.0000000e+00   2.8380749e+01   1.5710808e-08   1.3807301e-12  -1.0612006e-13
   571   3.1034472e+03   1.5142611e+01   0.0000000e+00   2.9316603e+01   1.5669765e-08   1.3935088e-12  -1.1130436e-13
   572   3.0944989e+03   1.5435685e+01   0.0000000e+00   3.0218520e+01   1.5628886e-08   1.4065440e-12  -1.1646774e-13
   573   3.0853679e+03   1.5733805e+01   0.0000000e+00   3.1085758e+01   1.5588175e-08   1.4198319e-12  -1.2160942e-13
   574   3.0760539e+03   1.6036875e+01   0.0000000e+00   3.1917975e+01   1.5547621e-08   1.4333680e-12  -1.2672857e-13
   575   3.0665865e+03   1.6344699e+01   0.0000000e+00   3.2714730e+01   1.5507234e-08   1.4471486e-12  -1.3182445e-13
   576   3.0569455e+03   1.6657281e+01   0.0000000e+00   3.3475481e+01   1.5467009e-08   1.4611694e-12  -1.3689625e-13
   577   3.0471607e+03   1.6974424e+01   0.0000000e+00   3.4199686e+01   1.5426940e-08   1.4754264e-12  -1.4194317e-13
   578   3.0372217e+03   1.7296033e+01   0.0000000e+00   3.4886804e+01   1.5387034e-08   1.4899160e-12  -1.4696448e-13
   579   3.0271383e+03   1.7622112e+01   0.0000000e+00   3.5536594e+01   1.5347288e-08   1.5046335e-12  -1.5195933e-13
   580   3.0169201e+03   1.7952365e+01   0.0000000e+00   3.6148514e+01   1.5307700e-08   1.5195753e-12  -1.5692699e-13
   581   3.0065771e+03   1.8286795e+01   0.0000000e+00   3.6722022e+01   1.5268269e-08   1.5347371e-12  -1.6186661e-13
   582   2.9961087e+03   1.8625206e+01   0.0000000e+00   3.7256676e+01   1.5228995e-08   1.5501150e-12  -1.6677747e-13
   583   2.9855149e+03   1.8967503e+01   0.0000000e+00   3.7752135e+01   1.5189880e-08   1.5657052e-12  -1.7165876e-13
   584   2.9748152e+03   1.9313689e+01   0.0000000e+00   3.8207858e+01   1.5150917e-08   1.5815029e-12  -1.7650965e-13
   585   2.9640094e+03   1.9663367e+01   0.0000000e+00   3.8623503e+01   1.5112112e-08   1.5975048e-12  -1.8132943e-13
   586   2.9530973e+03   2.0016644e+01   0.0000000e+00   3.8998628e+01   1.5073456e-08   1.6137065e-12  -1.8611725e-13
   587   2.9420886e+03   2.0373321e+01   0.0000000e+00   3.9333092e+01   1.5034957e-08   1.6301041e-12  -1.9087237e-13
   588   2.9310030e+03   2.0733202e+01   0.0000000e+00   3.9626553e+01   1.4996608e-08   1.6466931e-12  -1.9559393e-13
   589   2.9198201e+03   2.1096193e+01   0.0000000e+00   3.9878769e+01   1.4958413e-08   1.6634702e-12  -2.0028124e-13
   590   2.9085698e+03   2.1462197e+01   0.0000000e+00   4.0089400e+01   1.4920369e-08   1.6804310e-12  -2.0493347e-13
   591   2.8972518e+03   2.1831017e+01   0.0000000e+00   4.0258302e+01   1.4882475e-08   1.6975713e-12  -2.0954982e-13
   592   2.8858658e+03   2.2202557e+01   0.0000000e+00   4.0385036e+01   1.4844730e-08   1.7148873e-12  -2.1412953e-13
   593   2.8744215e+03   2.2576622e+01   0.0000000e+00   4.0469558e+01   1.4807134e-08   1.7323748e-12  -2.1867179e-13
   594   2.8629186e+03   2.2953116e+01   0.0000000e+00   4.0511729e+01   1.4769685e-08   1.7500298e-12  -2.2317583e-13
   595   2.8513769e+03   2.3331842e+01   0.0000000e+00   4.0511405e+01   1.4732387e-08   1.7678484e-12  -2.2764088e-13
   596   2.8397960e+03   2.3712704e+01   0.0000000e+00   4.0468446e+01   1.4695232e-08   1.7858263e-12  -2.3206610e-13
   597   2.8281758e+03   2.4095506e+01   0.0000000e+00   4.0382610e+01   1.4658222e-08   1.8039595e-12  -2.3645074e-13
   598   2.8165259e+03   2.4480052e+01   0.0000000e+00   4.0253955e+01   1.4621358e-08   1.8222444e-12  -2.4079406e-13
   599   2.8048561e+03   2.4866347e+01   0.0000000e+00   4.0082239e+01   1.4584637e-08   1.8406761e-12  -2.4509517e-13
   600   2.7931660e+03   2.5254093e+01   0.0000000e+00   3.9867522e+01   1.4548062e-08   1.8592513e-12  -2.4935336e-13
   601   2.7814754e+03   2.5643196e+01   0.0000000e+00   3.9609851e+01   1.4511630e-08   1.8779659e-12  -2.5356795e-13
   602   2.7697639e+03   2.6033468e+01   0.0000000e+00   3.9309334e+01   1.4475340e-08   1.8968152e-12  -2.5773857e-13
   603   2.7580710e+03   2.6424819e+01   0.0000000e+00   3.8965767e+01   1.4439188e-08   1.9157952e-12  -2.6186503e-13
   604   2.7463763e+03   2.6817063e+01   0.0000000e+00   3.8579248e+01   1.4403179e-08   1.9349024e-12  -2.6594721e-13
   605   2.7346894e+03   2.7210011e+01   0.0000000e+00   3.8149774e+01   1.4367311e-08   1.9541319e-12  -2.6998481e-13
   606   2.7230298e+03   2.7603575e+01   0.0000000e+00   3.7677441e+01   1.4331586e-08   1.9734803e-12  -2.7397774e-13
   607   2.7113870e+03   2.7997668e+01   0.0000000e+00   3.7162146e+01   1.4295996e-08   1.9929427e-12  -2.7792567e-13
   608   2.6997807e+03   2.8392002e+01   0.0000000e+00   3.6604088e+01   1.4260544e-08   2.0125150e-12  -2.8182842e-13
   609   2.6882204e+03   2.8786488e+01   0.0000000e+00   3.6003462e+01   1.4225230e-08   2.0321932e-12  -2.8568581e-13
   610   2.6766856e+03   2.9180940e+01   0.0000000e+00   3.5360266e+01   1.4190056e-08   2.0519737e-12  -2.8949771e-13
   611   2.6652160e+03   2.9575068e+01   0.0000000e+00   3.4674596e+01   1.4155014e-08   2.0718516e-12  -2.9326381e-13
   612   2.6537910e+03   2.9968886e+01   0.0000000e+00   3.3946551e+01   1.4120112e-08   2.0918233e-12  -2.9698397e-13
   613   2.6424203e+03   3.0362205e+01   0.0000000e+00   3.3176326e+01   1.4085346e-08   2.1118843e-12  -3.0065796e-13
   614   2.6311334e+03   3.0754838e+01   0.0000000e+00   3.2364219e+01   1.4050711e-08   2.1320300e-12  -3.0428551e-13
   615   2.6198998e+03   3.1146596e+01   0.0000000e+00   3.1510527e+01   1.4016213e-08   2.1522573e-12  -3.0786654e-13
   616   2.6087592e+03   3.1537392e+01   0.0000000e+00   3.0615746e+01   1.3981849e-08   2.1725614e-12  -3.1140079e-13
   617   2.5977011e+03   3.1927138e+01   0.0000000e+00   2.9680075e+01   1.3947617e-08   2.1929383e-12  -3.1488806e-13
   618   2.5867351e+03   3.2315746e+01   0.0000000e+00   2.8704009e+01   1.3913517e-08   2.2133838e-12  -3.1832814e-13
   619   2.5758606e+03   3.2702827e+01   0.0000000e+00   2.7687846e+01   1.3879549e-08   2.2338937e-12  -3.2172082e-13
   620   2.5650873e+03   3.3088495e+01   0.0000000e+00   2.6631983e+01   1.3845712e-08   2.2544639e-12  -3.2506590e-13
   621   2.5544348e+03   3.3472562e+01   0.0000000e+00   2.5536718e+01   1.3812006e-08   2.2750902e-12  -3.2836318e-13
   622   2.5438926e+03   3.3854639e+01   0.0000000e+00   2.4402546e+01   1.3778432e-08   2.2957691e-12  -3.3161254e-13
   623   2.5334602e+03   3.4234838e+01   0.0000000e+00   2.3229865e+01   1.3744984e-08   2.3164952e-12  -3.3481361e-13
   624   2.5231573e+03   3.4612872e+01   0.0000000e+00   2.2018972e+01   1.3711665e-08   2.3372650e-12  -3.3796627e-13
   625   2.5129833e+03   3.4988654e+01   0.0000000e+00   2.0770264e+01   1.3678476e-08   2.3580747e-12  -3.4107035e-13
   626   2.5029479e+03   3.5361894e+01   0.0000000e+00   1.9484239e+01   1.3645412e-08   2.3789194e-12  -3.4412557e-13
   627   2.4930406e+03   3.5732505e+01   0.0000000e+00   1.8161192e+01   1.3612477e-08   2.3997956e-12  -3.4713181e-13
   628   2.4832910e+03   3.6100299e+01   0.0000000e+00   1.6801621e+01   1.3579670e-08   2.4206992e-12  -3.5008887e-13
   629   2.4736786e+03   3.6465189e+01   0.0000000e+00   1.5406224e+01   1.3546984e-08   2.4416251e-12  -3.5299641e-13
   630   2.4642230e+03   3.6827086e+01   0.0000000e+00   1.3975497e+01   1.3514426e-08   2.4625702e-12  -3.5585437e-13
   631   2.4549237e+03   3.7185603e+01   0.0000000e+00   1.2509936e+01   1.3481993e-08   2.4835301e-12  -3.5866252e-13
   632   2.4457804e+03   3.7540852e+01   0.0000000e+00   1.1010240e+01   1.3449683e-08   2.5045002e-12  -3.6142060e-13
   633   2.4368125e+03   3.7892544e+01   0.0000000e+00   9.4768056e+00   1.3417497e-08   2.5254769e-12  -3.6412847e-13
   634   2.4280097e+03   3.8240493e+01   0.0000000e+00   7.9103291e+00   1.3385433e-08   2.5464555e-12  -3.6678586e-13
   635   2.4193815e+03   3.8584709e+01   0.0000000e+00   6.3114678e+00   1.3353491e-08   2.5674324e-12  -3.6939263e-13
   636   2.4109375e+03   3.8924906e+01   0.0000000e+00   4.6808488e+00   1.3321673e-08   2.5884035e-12  -3.7194860e-13
   637   2.4026772e+03   3.9261096e+01   0.0000000e+00   3.0191590e+00   1.3289972e-08   2.6093637e-12  -3.7445341e-13
   638   2.3946001e+03   3.9592989e+01   0.0000000e+00   1.3270856e+00   1.3258392e-08   2.6303098e-12  -3.7690702e-13
   639   2.3867160e+03   3.9920600e+01   0.0000000e+00  -3.9471447e-01   1.3226934e-08   2.6512376e-12  -3.7930920e-13
   640   2.3790242e+03   4.0243639e+01   0.0000000e+00  -2.1455562e+00   1.3195591e-08   2.6721420e-12  -3.8165962e-13
   641   2.3715344e+03   4.0562119e+01   0.0000000e+00  -3.9247466e+00   1.3164370e-08   2.6930202e-12  -3.8395826e-13
   642   2.3642361e+03   4.0875752e+01   0.0000000e+00  -5.7315046e+00   1.3133264e-08   2.7138671e-12  -3.8620477e-13
   643   2.3571590e+03   4.1184550e+01   0.0000000e+00  -7.5650411e+00   1.3102278e-08   2.7346791e-12  -3.8839906e-13
   644   2.3502725e+03   4.1488325e+01   0.0000000e+00  -9.4245492e+00   1.3071408e-08   2.7554517e-12  -3.9054086e-13
   645   2.3436062e+03   4.1786790e+01   0.0000000e+00  -1.1309242e+01   1.3040655e-08   2.7761809e-12  -3.9262997e-13
   646   2.3371597e+03   4.2079956e+01   0.0000000e+00  -1.3218332e+01   1.3010013e-08   2.7968618e-12  -3.9466610e-13
   647   2.3309225e+03   4.2367636e+01   0.0000000e+00  -1.5150923e+01   1.2979489e-08   2.8174916e-12  -3.9664923e-13
   648   2.3249043e+03   4.2649642e+01   0.0000000e+00  -1.7106397e+01   1.2949079e-08   2.8380654e-12  -3.9857907e-13
   649   2.3191045e+03   4.2925986e+01   0.0000000e+00  -1.9083658e+01   1.2918782e-08   2.8585792e-12  -4.0045540e-13
   650   2.3135427e+03   4.3196479e+01   0.0000000e+00  -2.1082008e+01   1.2888601e-08   2.8790291e-12  -4.0227807e-13
   651   2.3081986e+03   4.3461134e+01   0.0000000e+00  -2.3100461e+01   1.2858530e-08   2.8994105e-12  -4.0404685e-13
   652   2.3030819e+03   4.3719859e+01   0.0000000e+00  -2.5138175e+01   1.2828570e-08   2.9197208e-12  -4.0576186e-13
   653   2.2982025e+03   4.3972562e+01   0.0000000e+00  -2.7194418e+01   1.2798721e-08   2.9399574e-12  -4.0742324e-13
   654   2.2935602e+03   4.4219150e+01   0.0000000e+00  -2.9268359e+01   1.2768986e-08   2.9601182e-12  -4.0903124e-13
   655   2.2891649e+03   4.4459431e+01   0.0000000e+00  -3.1359165e+01   1.2739358e-08   2.9801992e-12  -4.1058581e-13
   656   2.2849964e+03   4.4693512e+01   0.0000000e+00  -3.3465805e+01   1.2709841e-08   3.0001988e-12  -4.1208722e-13
   657   2.2810745e+03   4.4921203e+01   0.0000000e+00  -3.5587647e+01   1.2680432e-08   3.0201135e-12  -4.1353554e-13
   658   2.2773991e+03   4.5142410e+01   0.0000000e+00  -3.7723559e+01   1.2651134e-08   3.0399417e-12  -4.1493103e-13
   659   2.2739700e+03   4.5356940e+01   0.0000000e+00  -3.9872811e+01   1.2621942e-08   3.0596794e-12  -4.1627366e-13
   660   2.2707871e+03   4.5564803e+01   0.0000000e+00  -4.2034469e+01   1.2592861e-08   3.0793248e-12  -4.1756371e-13
   661   2.2678502e+03   4.5765805e+01   0.0000000e+00  -4.4207603e+01   1.2563887e-08   3.0988754e-12  -4.1880132e-13
   662   2.2651691e+03   4.5959855e+01   0.0000000e+00  -4.6391380e+01   1.2535019e-08   3.1183277e-12  -4.1998653e-13
   663   2.2627338e+03   4.6146959e+01   0.0000000e+00  -4.8584770e+01   1.2506258e-08   3.1376797e-12  -4.2111960e-13
   664   2.2605539e+03   4.6326926e+01   0.0000000e+00  -5.0786840e+01   1.2477600e-08   3.1569277e-12  -4.2220050e-13
   665   2.2586295e+03   4.6499764e+01   0.0000000e+00  -5.2996758e+01   1.2449049e-08   3.1760701e-12  -4.2322954e-13
   666   2.2569503e+03   4.6665380e+01   0.0000000e+00  -5.5213593e+01   1.2420607e-08   3.1951046e-12  -4.2420690e-13
   667   2.2555261e+03   4.6823781e+01   0.0000000e+00  -5.7436313e+01   1.2392266e-08   3.2140273e-12  -4.2513257e-13
   668   2.2543669e+03   4.6974777e+01   0.0000000e+00  -5.9663987e+01   1.2364028e-08   3.2328356e-12  -4.2600670e-13
   669   2.2534524e+03   4.7118274e+01   0.0000000e+00  -6.1895782e+01   1.2335894e-08   3.2515275e-12  -4.2682954e-13
   670   2.2528024e+03   4.7254380e+01   0.0000000e+00  -6.4130668e+01   1.2307863e-08   3.2700997e-12  -4.2760111e-13
   671   2.2524070e+03   4.7383003e+01   0.0000000e+00  -6.6367712e+01   1.2279937e-08   3.2885505e-12  -4.2832172e-13
   672   2.2522658e+03   4.7503951e+01   0.0000000e+00  -6.8606082e+01   1.2252109e-08   3.3068758e-12  -4.2899131e-13
   673   2.2523787e+03   4.7617331e+01   0.0000000e+00  -7.0844648e+01   1.2224383e-08   3.3250739e-12  -4.2961016e-13
   674   2.2527455e+03   4.7723052e+01   0.0000000e+00  -7.3082676e+01   1.2196760e-08   3.3431424e-12  -4.3017843e-13
   675   2.2533762e+03   4.7821020e+01   0.0000000e+00  -7.5319037e+01   1.2169238e-08   3.3610779e-12  -4.3069620e-13
   676   2.2542605e+03   4.7911244e+01   0.0000000e+00  -7.7552797e+01   1.2141813e-08   3.3788772e-12  -4.3116351e-13
   677   2.2553983e+03   4.7993731e+01   0.0000000e+00  -7.9783125e+01   1.2114490e-08   3.3965390e-12  -4.3158071e-13
   678   2.2567794e+03   4.8068289e+01   0.0000000e+00  -8.2008789e+01   1.2087266e-08   3.4140599e-12  -4.3194784e-13
   679   2.2584236e+03   4.8134926e+01   0.0000000e+00  -8.4228858e+01   1.2060138e-08   3.4314368e-12  -4.3226499e-13
   680   2.2603209e+03   4.8193650e+01   0.0000000e+00  -8.6442401e+01   1.2033110e-08   3.4486679e-12  -4.3253241e-13
   681   2.2624611e+03   4.8244268e+01   0.0000000e+00  -8.8648184e+01   1.2006179e-08   3.4657500e-12  -4.3275018e-13
   682   2.2648439e+03   4.8286888e+01   0.0000000e+00  -9.0845377e+01   1.1979346e-08   3.4826805e-12  -4.3291844e-13
   683   2.2674793e+03   4.8321318e+01   0.0000000e+00  -9.3032848e+01   1.1952609e-08   3.4994566e-12  -4.3303735e-13
   684   2.2703670e+03   4.8347665e+01   0.0000000e+00  -9.5209865e+01   1.1925967e-08   3.5160757e-12  -4.3310703e-13
   685   2.2734870e+03   4.8366038e+01   0.0000000e+00  -9.7375497e+01   1.1899421e-08   3.5325351e-12  -4.3312764e-13
   686   2.2768490e+03   4.8376344e+01   0.0000000e+00  -9.9528311e+01   1.1872970e-08   3.5488321e-12  -4.3309932e-13
   687   2.2804529e+03   4.8378790e+01   0.0000000e+00  -1.0166858e+02   1.1846614e-08   3.5649641e-12  -4.3302220e-13
   688   2.2842986e+03   4.8373185e+01   0.0000000e+00  -1.0379536e+02   1.1820354e-08   3.5809287e-12  -4.3289648e-13
   689   2.2883858e+03   4.8359736e+01   0.0000000e+00  -1.0590673e+02   1.1794184e-08   3.5967225e-12  -4.3272220e-13
   690   2.2927045e+03   4.8338551e+01   0.0000000e+00  -1.0800176e+02   1.1768108e-08   3.6123431e-12  -4.3249956e-13
   691   2.2972545e+03   4.8309438e+01   0.0000000e+00  -1.1008052e+02   1.1742127e-08   3.6277888e-12  -4.3222879e-13
   692   2.3020356e+03   4.8272504e+01   0.0000000e+00  -1.1214206e+02   1.1716234e-08   3.6430551e-12  -4.3190984e-13
   693   2.3070476e+03   4.8227758e+01   0.0000000e+00  -1.1418547e+02   1.1690435e-08   3.6581406e-12  -4.3154300e-13
   694   2.3122804e+03   4.8175306e+01   0.0000000e+00  -1.1620880e+02   1.1664725e-08   3.6730419e-12  -4.3112830e-13
   695   2.3177439e+03   4.8115057e+01   0.0000000e+00  -1.1821213e+02   1.1639109e-08   3.6877575e-12  -4.3066606e-13
   696   2.3234078e+03   4.8046919e+01   0.0000000e+00  -1.2019353e+02   1.1613582e-08   3.7022834e-12  -4.3015624e-13
   697   2.3293021e+03   4.7971198e+01   0.0000000e+00  -1.2215307e+02   1.1588142e-08   3.7166169e-12  -4.2959901e-13
   698   2.3353965e+03   4.7887704e+01   0.0000000e+00  -1.2408880e+02   1.1562794e-08   3.7307562e-12  -4.2899459e-13
   699   2.3417110e+03   4.7796543e+01   0.0000000e+00  -1.2600081e+02   1.1537535e-08   3.7446987e-12  -4.2834314e-13
   700   2.3482253e+03   4.7697823e+01   0.0000000e+00  -1.2788815e+02   1.1512363e-08   3.7584408e-12  -4.2764468e-13
   701   2.3549393e+03   4.7591551e+01   0.0000000e+00  -1.2974990e+02   1.1487279e-08   3.7719809e-12  -4.2689951e-13
   702   2.3618433e+03   4.7477723e+01   0.0000000e+00  -1.3158512e+02   1.1462282e-08   3.7853163e-12  -4.2610778e-13
