# ell   TT    EE     BB    TE    PP    TP    EP
    47   1.7383444e+03   1.2414308e-01   0.0000000e+00   1.3426979e+00   1.3402628e-07   3.1090562e-10  -1.8317675e-13
    48   1.7632385e+03   1.3276866e-01   0.0000000e+00   1.1436135e+00   1.3356389e-07   3.0469273e-10  -1.7926989e-13
    49   1.7883159e+03   1.4175938e-01   0.0000000e+00   9.2783382e-01   1.3308205e-07   2.9862853e-10  -1.8021816e-13
    50   1.8136467e+03   1.5115532e-01   0.0000000e+00   6.9739667e-01   1.3258241e-07   2.9267731e-10  -1.8879226e-13
    51   1.8393062e+03   1.6098788e-01   0.0000000e+00   4.5404829e-01   1.3206653e-07   2.8681775e-10  -2.0656372e-13
    52   1.8652224e+03   1.7124772e-01   0.0000000e+00   1.9809676e-01   1.3153540e-07   2.8108497e-10  -2.3032985e-13
    53   1.8912991e+03   1.8191079e-01   0.0000000e+00  -7.0792014e-02   1.3099010e-07   2.7552853e-10  -2.5570390e-13
    54   1.9175099e+03   1.9295407e-01   0.0000000e+00  -3.5410872e-01   1.3043158e-07   2.7019768e-10  -2.7830858e-13
    55   1.9438484e+03   2.0435651e-01   0.0000000e+00  -6.5384164e-01   1.2986081e-07   2.6514171e-10  -2.9377542e-13
    56   1.9704650e+03   2.1609478e-01   0.0000000e+00  -9.7248010e-01   1.2927880e-07   2.6039198e-10  -2.9888298e-13
    57   1.9974970e+03   2.2817223e-01   0.0000000e+00  -1.3110648e+00   1.2868611e-07   2.5590765e-10  -2.9496846e-13
    58   2.0248883e+03   2.4060195e-01   0.0000000e+00  -1.6693600e+00   1.2808328e-07   2.5163012e-10  -2.8450367e-13
    59   2.0525231e+03   2.5339799e-01   0.0000000e+00  -2.0467427e+00   1.2747090e-07   2.4750098e-10  -2.6995542e-13
    60   2.0803754e+03   2.6656442e-01   0.0000000e+00  -2.4420301e+00   1.2684949e-07   2.4346186e-10  -2.5378573e-13
    61   2.1084560e+03   2.8010324e-01   0.0000000e+00  -2.8541400e+00   1.2621971e-07   2.3946419e-10  -2.3806736e-13
    62   2.1367734e+03   2.9400818e-01   0.0000000e+00  -3.2828725e+00   1.2558248e-07   2.3549775e-10  -2.2332963e-13
    63   2.1653532e+03   3.0827193e-01   0.0000000e+00  -3.7282684e+00   1.2493880e-07   2.3156199e-10  -2.0971634e-13
    64   2.1942007e+03   3.2288615e-01   0.0000000e+00  -4.1903585e+00   1.2428961e-07   2.2765626e-10  -1.9737112e-13
    65   2.2233513e+03   3.3784554e-01   0.0000000e+00  -4.6692534e+00   1.2363598e-07   2.2378012e-10  -1.8643763e-13
    66   2.2528561e+03   3.5313660e-01   0.0000000e+00  -5.1651144e+00   1.2297877e-07   2.1993824e-10  -1.7733374e-13
    67   2.2826892e+03   3.6874920e-01   0.0000000e+00  -5.6771745e+00   1.2231855e-07   2.1615685e-10  -1.7157452e-13
    68   2.3128001e+03   3.8467006e-01   0.0000000e+00  -6.2044270e+00   1.2165574e-07   2.1246725e-10  -1.7094732e-13
    69   2.3431286e+03   4.0088888e-01   0.0000000e+00  -6.7459055e+00   1.2099078e-07   2.0890080e-10  -1.7723747e-13
    70   2.3736341e+03   4.1739637e-01   0.0000000e+00  -7.3009032e+00   1.2032412e-07   2.0548888e-10  -1.9222847e-13
    71   2.4042865e+03   4.3418681e-01   0.0000000e+00  -7.8692055e+00   1.1965613e-07   2.0225377e-10  -2.1660537e-13
    72   2.4352354e+03   4.5125574e-01   0.0000000e+00  -8.4523351e+00   1.1898692e-07   1.9918165e-10  -2.4666763e-13
    73   2.4666308e+03   4.6859727e-01   0.0000000e+00  -9.0519562e+00   1.1831649e-07   1.9624977e-10  -2.7762337e-13
    74   2.4984824e+03   4.8619749e-01   0.0000000e+00  -9.6682934e+00   1.1764489e-07   1.9343534e-10  -3.0468611e-13
    75   2.5307900e+03   5.0404150e-01   0.0000000e+00  -1.0301121e+01   1.1697208e-07   1.9071561e-10  -3.2307445e-13
    76   2.5634920e+03   5.2211175e-01   0.0000000e+00  -1.0950002e+01   1.1629820e-07   1.8806988e-10  -3.2919077e-13
    77   2.5964212e+03   5.4039598e-01   0.0000000e+00  -1.1612930e+01   1.1562361e-07   1.8548528e-10  -3.2415531e-13
    78   2.6295590e+03   5.5888025e-01   0.0000000e+00  -1.2289157e+01   1.1494866e-07   1.8295080e-10  -3.1026479e-13
    79   2.6629667e+03   5.7755166e-01   0.0000000e+00  -1.2978336e+01   1.1427380e-07   1.8045555e-10  -2.8981356e-13
    80   2.6966757e+03   5.9639726e-01   0.0000000e+00  -1.3680319e+01   1.1359942e-07   1.7798865e-10  -2.6509344e-13
    81   2.7307202e+03   6.1540359e-01   0.0000000e+00  -1.4394649e+01   1.1292589e-07   1.7554115e-10  -2.3848835e-13
    82   2.7651161e+03   6.3455699e-01   0.0000000e+00  -1.5120638e+01   1.1225353e-07   1.7311245e-10  -2.1275833e-13
    83   2.7998319e+03   6.5384123e-01   0.0000000e+00  -1.5857786e+01   1.1158260e-07   1.7070385e-10  -1.9075537e-13
    84   2.8348664e+03   6.7324112e-01   0.0000000e+00  -1.6605196e+01   1.1091332e-07   1.6831664e-10  -1.7532902e-13
    85   2.8702082e+03   6.9274042e-01   0.0000000e+00  -1.7362471e+01   1.1024603e-07   1.6595225e-10  -1.6932677e-13
    86   2.9058519e+03   7.1232595e-01   0.0000000e+00  -1.8128720e+01   1.0958091e-07   1.6361307e-10  -1.7459479e-13
    87   2.9417557e+03   7.3198058e-01   0.0000000e+00  -1.8903391e+01   1.0891816e-07   1.6130618e-10  -1.8898297e-13
    88   2.9778936e+03   7.5168822e-01   0.0000000e+00  -1.9685943e+01   1.0825789e-07   1.5903976e-10  -2.0934453e-13
    89   3.0142797e+03   7.7143275e-01   0.0000000e+00  -2.0475931e+01   1.0760026e-07   1.5682197e-10  -2.3253528e-13
    90   3.0509180e+03   7.9119207e-01   0.0000000e+00  -2.1273113e+01   1.0694541e-07   1.5466099e-10  -2.5541353e-13
    91   3.0878220e+03   8.1094931e-01   0.0000000e+00  -2.2076929e+01   1.0629344e-07   1.5256320e-10  -2.7539904e-13
    92   3.1249928e+03   8.3068557e-01   0.0000000e+00  -2.2887146e+01   1.0564442e-07   1.5052778e-10  -2.9214949e-13
    93   3.1624506e+03   8.5038217e-01   0.0000000e+00  -2.3703118e+01   1.0499840e-07   1.4855222e-10  -3.0588179e-13
    94   3.2001860e+03   8.7002344e-01   0.0000000e+00  -2.4524595e+01   1.0435546e-07   1.4663399e-10  -3.1681262e-13
    95   3.2382193e+03   8.8958971e-01   0.0000000e+00  -2.5350930e+01   1.0371560e-07   1.4477046e-10  -3.2515824e-13
    96   3.2765410e+03   9.0906329e-01   0.0000000e+00  -2.6181573e+01   1.0307891e-07   1.4295917e-10  -3.3113500e-13
    97   3.3151514e+03   9.2842553e-01   0.0000000e+00  -2.7015977e+01   1.0244545e-07   1.4119755e-10  -3.3495888e-13
    98   3.3540609e+03   9.4765674e-01   0.0000000e+00  -2.7853594e+01   1.0181526e-07   1.3948307e-10  -3.3684572e-13
    99   3.3932400e+03   9.6673926e-01   0.0000000e+00  -2.8693774e+01   1.0118839e-07   1.3781318e-10  -3.3701111e-13
   100   3.4327091e+03   9.8565841e-01   0.0000000e+00  -2.9535869e+01   1.0056491e-07   1.3618539e-10  -3.3567064e-13
   101   3.4724586e+03   1.0043955e+00   0.0000000e+00  -3.0379232e+01   9.9944870e-08   1.3459716e-10  -3.3303964e-13
   102   3.5124888e+03   1.0229219e+00   0.0000000e+00  -3.1223513e+01   9.9328306e-08   1.3304593e-10  -3.2933316e-13
   103   3.5527803e+03   1.0412389e+00   0.0000000e+00  -3.2067664e+01   9.8715335e-08   1.3152926e-10  -3.2476647e-13
   104   3.5933333e+03   1.0593079e+00   0.0000000e+00  -3.2911237e+01   9.8105968e-08   1.3004456e-10  -3.1955429e-13
   105   3.6341383e+03   1.0771201e+00   0.0000000e+00  -3.3753484e+01   9.7500275e-08   1.2858938e-10  -3.1391155e-13
   106   3.6751857e+03   1.0946569e+00   0.0000000e+00  -3.4593556e+01   9.6898317e-08   1.2716116e-10  -3.0805281e-13
