# ell     TT     EE      BB      TE
  1034  1.3325112e+03  4.6233527e+01  1.2065253e-01 -8.0379368e+01
  1035  1.3346625e+03  4.5944435e+01  1.2067378e-01 -8.1390225e+01
  1036  1.3369001e+03  4.5651269e+01  1.2069612e-01 -8.2375159e+01
  1037  1.3392142e+03  4.5354218e+01  1.2071955e-01 -8.3333377e+01
  1038  1.3416253e+03  4.5053466e+01  1.2074404e-01 -8.4264188e+01
  1039  1.3441137e+03  4.4749202e+01  1.2076958e-01 -8.5166896e+01
  1040  1.3466699e+03  4.4441409e+01  1.2079617e-01 -8.6040705e+01
  1041  1.3493041e+03  4.4130376e+01  1.2082377e-01 -8.6885619e+01
  1042  1.3520069e+03  4.3815886e+01  1.2085237e-01 -8.7701639e+01
  1043  1.3547686e+03  4.3498125e+01  1.2088196e-01 -8.8488465e+01
  1044  1.3576096e+03  4.3177078e+01  1.2091251e-01 -8.9246996e+01
  1045  1.3605102e+03  4.2852629e+01  1.2094402e-01 -8.9976329e+01
  1046  1.3634710e+03  4.2525064e+01  1.2097645e-01 -9.0677560e+01
  1047  1.3664924e+03  4.2194166e+01  1.2100979e-01 -9.1349784e+01
  1048  1.3695746e+03  4.1860219e+01  1.2104401e-01 -9.1993094e+01
  1049  1.3727082e+03  4.1523608e+01  1.2107911e-01 -9.2606580e+01
  1050  1.3758937e+03  4.1184515e+01  1.2111504e-01 -9.3192335e+01
  1051  1.3791213e+03  4.0843222e+01  1.2115181e-01 -9.3749438e+01
  1052  1.3823917e+03  4.0499805e+01  1.2118937e-01 -9.4276945e+01
  1053  1.3857055e+03  4.0154736e+01  1.2122771e-01 -9.4774903e+01
  1054  1.3890632e+03  3.9808188e+01  1.2126681e-01 -9.5243356e+01
  1055  1.3924455e+03  3.9460234e+01  1.2130664e-01 -9.5683347e+01
  1056  1.3958629e+03  3.9110946e+01  1.2134718e-01 -9.6093918e+01
  1057  1.3993059e+03  3.8760497e+01  1.2138840e-01 -9.6474110e+01
  1058  1.4027753e+03  3.8408959e+01  1.2143027e-01 -9.6825961e+01
  1059  1.4062616e+03  3.8056403e+01  1.2147278e-01 -9.7147508e+01
  1060  1.4097754e+03  3.7703003e+01  1.2151589e-01 -9.7438788e+01
  1061  1.4133072e+03  3.7348829e+01  1.2155959e-01 -9.7701832e+01
  1062  1.4168577e+03  3.6994053e+01  1.2160383e-01 -9.7933675e+01
  1063  1.4204175e+03  3.6638646e+01  1.2164861e-01 -9.8137346e+01
  1064  1.4239872e+03  3.6282880e+01  1.2169388e-01 -9.8310875e+01
  1065  1.4275574e+03  3.5926827e+01  1.2173962e-01 -9.8454290e+01
  1066  1.4311387e+03  3.5570556e+01  1.2178581e-01 -9.8569616e+01
  1067  1.4347117e+03  3.5214240e+01  1.2183241e-01 -9.8654877e+01
  1068  1.4382969e+03  3.4858049e+01  1.2187940e-01 -9.8711096e+01
  1069  1.4418651e+03  3.4502054e+01  1.2192675e-01 -9.8738295e+01
  1070  1.4454368e+03  3.4146426e+01  1.2197443e-01 -9.8736492e+01
  1071  1.4489926e+03  3.3791235e+01  1.2202240e-01 -9.8705706e+01
  1072  1.4525431e+03  3.3436753e+01  1.2207066e-01 -9.8646953e+01
  1073  1.4560689e+03  3.3083049e+01  1.2211915e-01 -9.8559246e+01
  1074  1.4595807e+03  3.2730294e+01  1.2216786e-01 -9.8443600e+01
  1075  1.4630689e+03  3.2378660e+01  1.2221675e-01 -9.8300025e+01
  1076  1.4665443e+03  3.2028215e+01  1.2226579e-01 -9.8127532e+01
  1077  1.4699874e+03  3.1679032e+01  1.2231496e-01 -9.7928128e+01
  1078  1.4734088e+03  3.1331379e+01  1.2236423e-01 -9.7701819e+01
  1079  1.4767891e+03  3.0985328e+01  1.2241356e-01 -9.7447611e+01
  1080  1.4801489e+03  3.0640950e+01  1.2246293e-01 -9.7167507e+01
  1081  1.4834688e+03  3.0298513e+01  1.2251230e-01 -9.6859509e+01
  1082  1.4867494e+03  2.9957990e+01  1.2256165e-01 -9.6525617e+01
  1083  1.4899912e+03  2.9619550e+01  1.2261095e-01 -9.6165828e+01
  1084  1.4931948e+03  2.9283365e+01  1.2266016e-01 -9.5780141e+01
  1085  1.4963509e+03  2.8949504e+01  1.2270927e-01 -9.5369551e+01
  1086  1.4994599e+03  2.8618038e+01  1.2275823e-01 -9.4932050e+01
  1087  1.5025225e+03  2.8289037e+01  1.2280703e-01 -9.4470632e+01
  1088  1.5055292e+03  2.7962774e+01  1.2285562e-01 -9.3984288e+01
  1089  1.5084806e+03  2.7639318e+01  1.2290399e-01 -9.3473006e+01
  1090  1.5113773e+03  2.7318639e+01  1.2295210e-01 -9.2937773e+01
  1091  1.5142197e+03  2.7001011e+01  1.2299993e-01 -9.2379577e+01
  1092  1.5169985e+03  2.6686502e+01  1.2304744e-01 -9.1797402e+01
  1093  1.5197142e+03  2.6375284e+01  1.2309461e-01 -9.1193231e+01
  1094  1.5223673e+03  2.6067429e+01  1.2314141e-01 -9.0566046e+01
  1095  1.5249584e+03  2.5763109e+01  1.2318782e-01 -8.9917826e+01
  1096  1.5274779e+03  2.5462393e+01  1.2323380e-01 -8.9247551e+01
  1097  1.5299365e+03  2.5165454e+01  1.2327933e-01 -8.8556197e+01
  1098  1.5323247e+03  2.4872265e+01  1.2332438e-01 -8.7844742e+01
  1099  1.5346329e+03  2.4583095e+01  1.2336893e-01 -8.7113159e+01
  1100  1.5368816e+03  2.4297919e+01  1.2341294e-01 -8.6362422e+01
  1101  1.5390415e+03  2.4016707e+01  1.2345639e-01 -8.5591493e+01
  1102  1.5411328e+03  2.3739734e+01  1.2349926e-01 -8.4802302e+01
  1103  1.5431361e+03  2.3467071e+01  1.2354152e-01 -8.3993767e+01
  1104  1.5450718e+03  2.3198794e+01  1.2358315e-01 -8.3167605e+01
  1105  1.5469202e+03  2.2934875e+01  1.2362411e-01 -8.2323933e+01
  1106  1.5486818e+03  2.2675489e+01  1.2366439e-01 -8.1463065e+01
  1107  1.5503670e+03  2.2420709e+01  1.2370395e-01 -8.0585516e+01
  1108  1.5519562e+03  2.2170611e+01  1.2374278e-01 -7.9691796e+01
  1109  1.5534698e+03  2.1925368e+01  1.2378085e-01 -7.8782319e+01
  1110  1.5548882e+03  2.1684955e+01  1.2381814e-01 -7.7857593e+01
  1111  1.5562217e+03  2.1449547e+01  1.2385462e-01 -7.6918128e+01
  1112  1.5574607e+03  2.1219019e+01  1.2389027e-01 -7.5964231e+01
  1113  1.5586157e+03  2.0993647e+01  1.2392507e-01 -7.4996710e+01
  1114  1.5596769e+03  2.0773507e+01  1.2395899e-01 -7.4015770e+01
  1115  1.5606448e+03  2.0558474e+01  1.2399201e-01 -7.3022016e+01
  1116  1.5615197e+03  2.0348825e+01  1.2402412e-01 -7.2016051e+01
  1117  1.5623018e+03  2.0144436e+01  1.2405528e-01 -7.0998177e+01
  1118  1.5629917e+03  1.9945484e+01  1.2408548e-01 -6.9968898e+01
  1119  1.5635795e+03  1.9752045e+01  1.2411469e-01 -6.8928914e+01
  1120  1.5640657e+03  1.9563998e+01  1.2414290e-01 -6.7878424e+01
  1121  1.5644606e+03  1.9381619e+01  1.2417008e-01 -6.6818128e+01
  1122  1.5647544e+03  1.9204787e+01  1.2419622e-01 -6.5748425e+01
  1123  1.5649475e+03  1.9033580e+01  1.2422130e-01 -6.4669811e+01
  1124  1.5650502e+03  1.8868175e+01  1.2424528e-01 -6.3582784e+01
  1125  1.5650428e+03  1.8708453e+01  1.2426817e-01 -6.2487839e+01
  1126  1.5649256e+03  1.8554492e+01  1.2428993e-01 -6.1385672e+01
  1127  1.5647189e+03  1.8406371e+01  1.2431055e-01 -6.0276778e+01
  1128  1.5644129e+03  1.8264171e+01  1.2433002e-01 -5.9161851e+01
  1129  1.5639979e+03  1.8127871e+01  1.2434830e-01 -5.8041284e+01
  1130  1.5634942e+03  1.7997452e+01  1.2436540e-01 -5.6915771e+01
  1131  1.5628821e+03  1.7872994e+01  1.2438129e-01 -5.5785903e+01
  1132  1.5621717e+03  1.7754579e+01  1.2439595e-01 -5.4652074e+01
  1133  1.5613635e+03  1.7642188e+01  1.2440936e-01 -5.3514873e+01
  1134  1.5604475e+03  1.7535802e+01  1.2442153e-01 -5.2374793e+01
  1135  1.5594340e+03  1.7435405e+01  1.2443242e-01 -5.1232324e+01
  1136  1.5583233e+03  1.7341078e+01  1.2444202e-01 -5.0087857e+01
  1137  1.5571056e+03  1.7252804e+01  1.2445033e-01 -4.8942081e+01
  1138  1.5557911e+03  1.7170567e+01  1.2445732e-01 -4.7795387e+01
  1139  1.5543800e+03  1.7094350e+01  1.2446298e-01 -4.6648263e+01
  1140  1.5528524e+03  1.7024236e+01  1.2446731e-01 -4.5501300e+01
  1141  1.5512387e+03  1.6960112e+01  1.2447029e-01 -4.4355086e+01
  1142  1.5495189e+03  1.6902060e+01  1.2447190e-01 -4.3210111e+01
  1143  1.5477033e+03  1.6850066e+01  1.2447214e-01 -4.2066863e+01
  1144  1.5457821e+03  1.6804116e+01  1.2447100e-01 -4.0925931e+01
  1145  1.5437653e+03  1.6764196e+01  1.2446847e-01 -3.9787804e+01
  1146  1.5416532e+03  1.6730291e+01  1.2446454e-01 -3.8653071e+01
  1147  1.5394459e+03  1.6702388e+01  1.2445919e-01 -3.7522121e+01
  1148  1.5371335e+03  1.6680474e+01  1.2445243e-01 -3.6395442e+01
  1149  1.5347262e+03  1.6664437e+01  1.2444424e-01 -3.5273624e+01
  1150  1.5322241e+03  1.6654265e+01  1.2443462e-01 -3.4157055e+01
  1151  1.5296274e+03  1.6650047e+01  1.2442356e-01 -3.3046223e+01
  1152  1.5269358e+03  1.6651680e+01  1.2441106e-01 -3.1941704e+01
  1153  1.5241595e+03  1.6659163e+01  1.2439710e-01 -3.0843871e+01
  1154  1.5212781e+03  1.6672497e+01  1.2438170e-01 -2.9753200e+01
  1155  1.5183117e+03  1.6691482e+01  1.2436484e-01 -2.8670165e+01
  1156  1.5152501e+03  1.6716317e+01  1.2434651e-01 -2.7595341e+01
  1157  1.5121032e+03  1.6746803e+01  1.2432673e-01 -2.6529004e+01
  1158  1.5088708e+03  1.6783043e+01  1.2430548e-01 -2.5471828e+01
  1159  1.5055528e+03  1.6824836e+01  1.2428276e-01 -2.4424191e+01
  1160  1.5021490e+03  1.6872286e+01  1.2425858e-01 -2.3386469e+01
  1161  1.4986594e+03  1.6925295e+01  1.2423293e-01 -2.2359139e+01
  1162  1.4950937e+03  1.6983764e+01  1.2420582e-01 -2.1342479e+01
  1163  1.4914418e+03  1.7047699e+01  1.2417724e-01 -2.0336966e+01
  1164  1.4877134e+03  1.7117101e+01  1.2414720e-01 -1.9343081e+01
  1165  1.4839084e+03  1.7191776e+01  1.2411570e-01 -1.8361101e+01
  1166  1.4800167e+03  1.7271826e+01  1.2408275e-01 -1.7391508e+01
  1167  1.4760480e+03  1.7357058e+01  1.2404834e-01 -1.6434582e+01
  1168  1.4720021e+03  1.7447475e+01  1.2401248e-01 -1.5490804e+01
  1169  1.4678887e+03  1.7543083e+01  1.2397518e-01 -1.4560456e+01
  1170  1.4636978e+03  1.7643589e+01  1.2393644e-01 -1.3643922e+01
  1171  1.4594390e+03  1.7749198e+01  1.2389626e-01 -1.2741686e+01
  1172  1.4551122e+03  1.7859716e+01  1.2385466e-01 -1.1853931e+01
  1173  1.4507171e+03  1.7975051e+01  1.2381165e-01 -1.0981143e+01
  1174  1.4462534e+03  1.8095209e+01  1.2376722e-01 -1.0123659e+01
  1175  1.4417209e+03  1.8220099e+01  1.2372138e-01 -9.2817152e+00
  1176  1.4371294e+03  1.8349528e+01  1.2367416e-01 -8.4556503e+00
  1177  1.4324786e+03  1.8483505e+01  1.2362555e-01 -7.6457432e+00
  1178  1.4277582e+03  1.8622038e+01  1.2357556e-01 -6.8523240e+00
  1179  1.4229881e+03  1.8764936e+01  1.2352421e-01 -6.0756838e+00
  1180  1.4181578e+03  1.8912108e+01  1.2347150e-01 -5.3161348e+00
  1181  1.4132671e+03  1.9063464e+01  1.2341745e-01 -4.5739500e+00
  1182  1.4083258e+03  1.9219015e+01  1.2336207e-01 -3.8493739e+00
  1183  1.4033336e+03  1.9378569e+01  1.2330537e-01 -3.1426928e+00
  1184  1.3982901e+03  1.9542139e+01  1.2324736e-01 -2.4541592e+00
  1185  1.3931951e+03  1.9709434e+01  1.2318806e-01 -1.7840469e+00
  1186  1.3880483e+03  1.9880567e+01  1.2312747e-01 -1.1326209e+00
  1187  1.3828593e+03  2.0055348e+01  1.2306562e-01 -5.0013212e-01
  1188  1.3776280e+03  2.0233690e+01  1.2300251e-01  1.1323794e-01
  1189  1.3723539e+03  2.0415504e+01  1.2293817e-01  7.0729670e-01
  1190  1.3670267e+03  2.0600703e+01  1.2287260e-01  1.2818802e+00
  1191  1.3616762e+03  2.0789100e+01  1.2280582e-01  1.8368134e+00
  1192  1.3562820e+03  2.0980708e+01  1.2273784e-01  2.3719095e+00
  1193  1.3508538e+03  2.1175440e+01  1.2266869e-01  2.8870109e+00
  1194  1.3454013e+03  2.1373010e+01  1.2259838e-01  3.3819281e+00
  1195  1.3399141e+03  2.1573431e+01  1.2252692e-01  3.8565407e+00
  1196  1.3343919e+03  2.1776618e+01  1.2245433e-01  4.3107365e+00
  1197  1.3288445e+03  2.1982484e+01  1.2238063e-01  4.7443922e+00
  1198  1.3232813e+03  2.2190745e+01  1.2230583e-01  5.1574127e+00
  1199  1.3176922e+03  2.2401515e+01  1.2222996e-01  5.5495619e+00
  1200  1.3120768e+03  2.2614510e+01  1.2215303e-01  5.9209219e+00
  1201  1.3064447e+03  2.2829745e+01  1.2207506e-01  6.2711686e+00
  1202  1.3007955e+03  2.3047046e+01  1.2199606e-01  6.6004572e+00
  1203  1.2951286e+03  2.3266237e+01  1.2191607e-01  6.9085367e+00
  1204  1.2894537e+03  2.3487445e+01  1.2183509e-01  7.1954546e+00
  1205  1.2837602e+03  2.3710296e+01  1.2175314e-01  7.4610565e+00
  1206  1.2780577e+03  2.3934915e+01  1.2167025e-01  7.7053870e+00
  1207  1.2723457e+03  2.4160930e+01  1.2158643e-01  7.9283886e+00
  1208  1.2666336e+03  2.4388568e+01  1.2150171e-01  8.1299028e+00
  1209  1.2609211e+03  2.4617454e+01  1.2141610e-01  8.3100689e+00
  1210  1.2551976e+03  2.4847616e+01  1.2132963e-01  8.4687251e+00
  1211  1.2494727e+03  2.5078882e+01  1.2124231e-01  8.6061077e+00
  1212  1.2437558e+03  2.5311178e+01  1.2115417e-01  8.7221517e+00
  1213  1.2380365e+03  2.5544431e+01  1.2106523e-01  8.8167901e+00
  1214  1.2323243e+03  2.5778570e+01  1.2097551e-01  8.8900545e+00
  1215  1.2266287e+03  2.6013322e+01  1.2088503e-01  8.9420751e+00
  1216  1.2209292e+03  2.6248715e+01  1.2079381e-01  8.9727800e+00
  1217  1.2152453e+03  2.6484577e+01  1.2070188e-01  8.9822959e+00
  1218  1.2095766e+03  2.6720836e+01  1.2060925e-01  8.9706481e+00
  1219  1.2039226e+03  2.6957320e+01  1.2051595e-01  8.9377599e+00
  1220  1.1982727e+03  2.7193957e+01  1.2042201e-01  8.8839532e+00
  1221  1.1926565e+03  2.7430575e+01  1.2032744e-01  8.8089481e+00
  1222  1.1870436e+03  2.7667203e+01  1.2023227e-01  8.7130632e+00
  1223  1.1814633e+03  2.7903569e+01  1.2013652e-01  8.5964154e+00
  1224  1.1758953e+03  2.8139702e+01  1.2004022e-01  8.4590200e+00
  1225  1.1703590e+03  2.8375429e+01  1.1994338e-01  8.3012908e+00
  1226  1.1648440e+03  2.8610681e+01  1.1984604e-01  8.1232397e+00
  1227  1.1593597e+03  2.8845284e+01  1.1974821e-01  7.9249773e+00
  1228  1.1539058e+03  2.9079269e+01  1.1964992e-01  7.7069123e+00
  1229  1.1484916e+03  2.9312462e+01  1.1955119e-01  7.4690519e+00
  1230  1.1431068e+03  2.9544794e+01  1.1945205e-01  7.2116018e+00
  1231  1.1377509e+03  2.9776092e+01  1.1935252e-01  6.9346661e+00
  1232  1.1324333e+03  3.0006385e+01  1.1925263e-01  6.6386472e+00
  1233  1.1271637e+03  3.0235302e+01  1.1915240e-01  6.3234459e+00
  1234  1.1219215e+03  3.0462971e+01  1.1905185e-01  5.9894617e+00
  1235  1.1167262e+03  3.0689221e+01  1.1895101e-01  5.6366922e+00
  1236  1.1115674e+03  3.0913980e+01  1.1884991e-01  5.2654336e+00
  1237  1.1064547e+03  3.1136976e+01  1.1874856e-01  4.8758808e+00
  1238  1.1013875e+03  3.1358338e+01  1.1864700e-01  4.4683268e+00
  1239  1.0963655e+03  3.1577794e+01  1.1854524e-01  4.0429634e+00
  1240  1.0913881e+03  3.1795272e+01  1.1844332e-01  3.6000806e+00
  1241  1.0864648e+03  3.2010801e+01  1.1834125e-01  3.1399672e+00
  1242  1.0815953e+03  3.2224207e+01  1.1823906e-01  2.6629105e+00
  1243  1.0767691e+03  3.2435320e+01  1.1813677e-01  2.1690961e+00
  1244  1.0719958e+03  3.2644167e+01  1.1803442e-01  1.6587084e+00
  1245  1.0672748e+03  3.2850476e+01  1.1793202e-01  1.1322105e+00
  1246  1.0626158e+03  3.3054373e+01  1.1782959e-01  5.8981365e-01
  1247  1.0580083e+03  3.3255587e+01  1.1772717e-01  3.1808148e-02
  1248  1.0534619e+03  3.3454145e+01  1.1762477e-01 -5.4152727e-01
  1249  1.0489662e+03  3.3649774e+01  1.1752242e-01 -1.1299152e+00
  1250  1.0445407e+03  3.3842500e+01  1.1742015e-01 -1.7330395e+00
  1251  1.0401650e+03  3.4032351e+01  1.1731796e-01 -2.3505525e+00
  1252  1.0358488e+03  3.4219054e+01  1.1721590e-01 -2.9820957e+00
  1253  1.0316016e+03  3.4402636e+01  1.1711398e-01 -3.6273189e+00
  1254  1.0274132e+03  3.4583123e+01  1.1701222e-01 -4.2858933e+00
  1255  1.0232931e+03  3.4760343e+01  1.1691065e-01 -4.9574511e+00
  1256  1.0192409e+03  3.4934221e+01  1.1680929e-01 -5.6416660e+00
  1257  1.0152564e+03  3.5104684e+01  1.1670816e-01 -6.3381995e+00
  1258  1.0113391e+03  3.5271858e+01  1.1660729e-01 -7.0467075e+00
  1259  1.0074787e+03  3.5435369e+01  1.1650669e-01 -7.7668535e+00
  1260  1.0037049e+03  3.5595442e+01  1.1640638e-01 -8.4982970e+00
  1261  9.9998735e+02  3.5751802e+01  1.1630639e-01 -9.2407106e+00
  1262  9.9634570e+02  3.5904375e+01  1.1620674e-01 -9.9937564e+00
  1263  9.9277964e+02  3.6053185e+01  1.1610744e-01 -1.0757106e+01
  1264  9.8927884e+02  3.6198257e+01  1.1600852e-01 -1.1530401e+01
  1265  9.8585302e+02  3.6339316e+01  1.1591000e-01 -1.2313286e+01
  1266  9.8249184e+02  3.6476385e+01  1.1581189e-01 -1.3105355e+01
  1267  9.7921503e+02  3.6609488e+01  1.1571422e-01 -1.3906242e+01
  1268  9.7601228e+02  3.6738549e+01  1.1561700e-01 -1.4715555e+01
  1269  9.7288331e+02  3.6863490e+01  1.1552026e-01 -1.5532900e+01
  1270  9.6982784e+02  3.6984336e+01  1.1542400e-01 -1.6357945e+01
  1271  9.6684561e+02  3.7100908e+01  1.1532825e-01 -1.7190199e+01
  1272  9.6394633e+02  3.7213229e+01  1.1523302e-01 -1.8029451e+01
  1273  9.6111975e+02  3.7321220e+01  1.1513834e-01 -1.8875092e+01
  1274  9.5836462e+02  3.7424904e+01  1.1504421e-01 -1.9726913e+01
  1275  9.5569070e+02  3.7524302e+01  1.1495065e-01 -2.0584406e+01
  1276  9.5309473e+02  3.7619235e+01  1.1485768e-01 -2.1447263e+01
  1277  9.5057648e+02  3.7709823e+01  1.1476532e-01 -2.2315077e+01
  1278  9.4813573e+02  3.7795888e+01  1.1467357e-01 -2.3187342e+01
  1279  9.4577226e+02  3.7877349e+01  1.1458246e-01 -2.4063852e+01
  1280  9.4348685e+02  3.7954427e+01  1.1449200e-01 -2.4944103e+01
  1281  9.4127929e+02  3.8026739e+01  1.1440219e-01 -2.5827789e+01
  1282  9.3914938e+02  3.8094506e+01  1.1431306e-01 -2.6714407e+01
  1283  9.3709693e+02  3.8157646e+01  1.1422461e-01 -2.7603653e+01
  1284  9.3512174e+02  3.8215978e+01  1.1413687e-01 -2.8495025e+01
  1285  9.3322463e+02  3.8269619e+01  1.1404983e-01 -2.9388218e+01
  1286  9.3140442e+02  3.8318488e+01  1.1396352e-01 -3.0282831e+01
  1287  9.2966195e+02  3.8362700e+01  1.1387794e-01 -3.1178462e+01
  1288  9.2799606e+02  3.8402074e+01  1.1379311e-01 -3.2074609e+01
  1289  9.2640657e+02  3.8436726e+01  1.1370903e-01 -3.2970870e+01
  1290  9.2489535e+02  3.8466672e+01  1.1362572e-01 -3.3866945e+01
  1291  9.2346024e+02  3.8491827e+01  1.1354319e-01 -3.4762332e+01
  1292  9.2210111e+02  3.8512308e+01  1.1346144e-01 -3.5656731e+01
  1293  9.2081783e+02  3.8528128e+01  1.1338048e-01 -3.6549541e+01
  1294  9.1961126e+02  3.8539103e+01  1.1330033e-01 -3.7440660e+01
  1295  9.1847829e+02  3.8545347e+01  1.1322099e-01 -3.8329490e+01
  1296  9.1742079e+02  3.8546874e+01  1.1314246e-01 -3.9215728e+01
  1297  9.1643668e+02  3.8543597e+01  1.1306477e-01 -4.0098975e+01
  1298  9.1552683e+02  3.8535629e+01  1.1298790e-01 -4.0978831e+01
  1299  9.1468915e+02  3.8522783e+01  1.1291188e-01 -4.1854993e+01
  1300  9.1392356e+02  3.8505271e+01  1.1283670e-01 -4.2726963e+01
  1301  9.1322999e+02  3.8482904e+01  1.1276238e-01 -4.3594542e+01
  1302  9.1260748e+02  3.8455985e+01  1.1268891e-01 -4.4457143e+01
  1303  9.1205511e+02  3.8424319e+01  1.1261631e-01 -4.5314683e+01
  1304  9.1157196e+02  3.8387908e+01  1.1254458e-01 -4.6166576e+01
  1305  9.1116011e+02  3.8346954e+01  1.1247372e-01 -4.7012640e+01
  1306  9.1081567e+02  3.8301359e+01  1.1240373e-01 -4.7852389e+01
  1307  9.1053971e+02  3.8251123e+01  1.1233462e-01 -4.8685537e+01
  1308  9.1033135e+02  3.8196349e+01  1.1226640e-01 -4.9511800e+01
  1309  9.1018970e+02  3.8136936e+01  1.1219906e-01 -5.0330793e+01
  1310  9.1011287e+02  3.8072985e+01  1.1213262e-01 -5.1142027e+01
  1311  9.1010197e+02  3.8004496e+01  1.1206706e-01 -5.1945418e+01
  1312  9.1015515e+02  3.7931467e+01  1.1200239e-01 -5.2740477e+01
  1313  9.1027152e+02  3.7853898e+01  1.1193862e-01 -5.3526818e+01
  1314  9.1045022e+02  3.7771888e+01  1.1187574e-01 -5.4304351e+01
  1315  9.1069040e+02  3.7685535e+01  1.1181376e-01 -5.5072488e+01
  1316  9.1099120e+02  3.7594736e+01  1.1175266e-01 -5.5831140e+01
  1317  9.1135179e+02  3.7499789e+01  1.1169247e-01 -5.6580016e+01
  1318  9.1177130e+02  3.7400491e+01  1.1163316e-01 -5.7318726e+01
  1319  9.1224892e+02  3.7297139e+01  1.1157475e-01 -5.8046978e+01
  1320  9.1278281e+02  3.7189629e+01  1.1151723e-01 -5.8764581e+01
  1321  9.1337315e+02  3.7078056e+01  1.1146059e-01 -5.9471141e+01
  1322  9.1401911e+02  3.6962517e+01  1.1140484e-01 -6.0166464e+01
  1323  9.1471788e+02  3.6843006e+01  1.1134997e-01 -6.0850257e+01
  1324  9.1546966e+02  3.6719619e+01  1.1129598e-01 -6.1522223e+01
  1325  9.1627264e+02  3.6592250e+01  1.1124286e-01 -6.2182067e+01
  1326  9.1712601e+02  3.6461092e+01  1.1119061e-01 -6.2829591e+01
  1327  9.1802900e+02  3.6326140e+01  1.1113923e-01 -6.3464598e+01
  1328  9.1897980e+02  3.6187387e+01  1.1108871e-01 -6.4086689e+01
  1329  9.1997663e+02  3.6045025e+01  1.1103904e-01 -6.4695662e+01
  1330  9.2101972e+02  3.5899049e+01  1.1099022e-01 -6.5291419e+01
  1331  9.2210729e+02  3.5749549e+01  1.1094224e-01 -6.5873657e+01
  1332  9.2323657e+02  3.5596518e+01  1.1089510e-01 -6.6442172e+01
  1333  9.2440880e+02  3.5440048e+01  1.1084878e-01 -6.6996761e+01
  1334  9.2562122e+02  3.5280329e+01  1.1080329e-01 -6.7537119e+01
  1335  9.2687206e+02  3.5117253e+01  1.1075860e-01 -6.8063040e+01
  1336  9.2816159e+02  3.4951011e+01  1.1071472e-01 -6.8574515e+01
  1337  9.2948704e+02  3.4781593e+01  1.1067163e-01 -6.9071238e+01
  1338  9.3084868e+02  3.4609189e+01  1.1062933e-01 -6.9553097e+01
  1339  9.3224377e+02  3.4433689e+01  1.1058780e-01 -7.0019783e+01
  1340  9.3367058e+02  3.4255382e+01  1.1054704e-01 -7.0471283e+01
  1341  9.3512936e+02  3.4074057e+01  1.1050703e-01 -7.0907384e+01
  1342  9.3661740e+02  3.3890104e+01  1.1046776e-01 -7.1327772e+01
  1343  9.3813396e+02  3.3703311e+01  1.1042923e-01 -7.1732530e+01
  1344  9.3967633e+02  3.3513965e+01  1.1039142e-01 -7.2121342e+01
  1345  9.4124478e+02  3.3321957e+01  1.1035432e-01 -7.2494089e+01
  1346  9.4283661e+02  3.3127472e+01  1.1031791e-01 -7.2850652e+01
  1347  9.4445110e+02  3.2930499e+01  1.1028219e-01 -7.3190909e+01
  1348  9.4608554e+02  3.2731125e+01  1.1024713e-01 -7.3514638e+01
  1349  9.4774022e+02  3.2529537e+01  1.1021274e-01 -7.3821716e+01
  1350  9.4941243e+02  3.2325822e+01  1.1017899e-01 -7.4112318e+01
  1351  9.5110150e+02  3.2119965e+01  1.1014587e-01 -7.4386313e+01
  1352  9.5280582e+02  3.1912145e+01  1.1011337e-01 -7.4643557e+01
  1353  9.5452680e+02  3.1702338e+01  1.1008147e-01 -7.4884103e+01
  1354  9.5625286e+02  3.1490921e+01  1.1005016e-01 -7.5107899e+01
  1355  9.5799841e+02  3.1277671e+01  1.1001942e-01 -7.5314795e+01
  1356  9.5975388e+02  3.1062865e+01  1.0998924e-01 -7.5504837e+01
  1357  9.6151968e+02  3.0846577e+01  1.0995960e-01 -7.5677971e+01
  1358  9.6329623e+02  3.0628685e+01  1.0993049e-01 -7.5834040e+01
  1359  9.6507397e+02  3.0409464e+01  1.0990189e-01 -7.5973188e+01
  1360  9.6685330e+02  3.0188990e+01  1.0987379e-01 -7.6095155e+01
  1361  9.6863466e+02  2.9967238e+01  1.0984616e-01 -7.6199981e+01
  1362  9.7042848e+02  2.9744283e+01  1.0981901e-01 -7.6287704e+01
  1363  9.7221516e+02  2.9520300e+01  1.0979229e-01 -7.6358160e+01
  1364  9.7400515e+02  2.9295266e+01  1.0976601e-01 -7.6411485e+01
  1365  9.7579886e+02  2.9069353e+01  1.0974014e-01 -7.6447713e+01
  1366  9.7757673e+02  2.8842638e+01  1.0971468e-01 -7.6466774e+01
  1367  9.7935917e+02  2.8615194e+01  1.0968959e-01 -7.6468700e+01
  1368  9.8113661e+02  2.8386997e+01  1.0966486e-01 -7.6453520e+01
  1369  9.8289947e+02  2.8158321e+01  1.0964048e-01 -7.6421260e+01
  1370  9.8466818e+02  2.7929239e+01  1.0961644e-01 -7.6372047e+01
  1371  9.8641317e+02  2.7699627e+01  1.0959270e-01 -7.6305906e+01
  1372  9.8815484e+02  2.7469858e+01  1.0956926e-01 -7.6222858e+01
  1373  9.8988363e+02  2.7239807e+01  1.0954609e-01 -7.6123025e+01
  1374  9.9159996e+02  2.7009647e+01  1.0952319e-01 -7.6006526e+01
  1375  9.9329424e+02  2.6779452e+01  1.0950053e-01 -7.5873381e+01
