# ell     TT     EE      BB      TE
    80  2.6992064e+03  5.9865475e-01  2.5471853e-03 -1.3681289e+01
    81  2.7332891e+03  6.1770650e-01  2.6112669e-03 -1.4395107e+01
    82  2.7677223e+03  6.3690533e-01  2.6761659e-03 -1.5120540e+01
    83  2.8024748e+03  6.5623502e-01  2.7418859e-03 -1.5857087e+01
    84  2.8375451e+03  6.7568037e-01  2.8084304e-03 -1.6603849e+01
    85  2.8729218e+03  6.9522515e-01  2.8758032e-03 -1.7360428e+01
    86  2.9085995e+03  7.1485618e-01  2.9440081e-03 -1.8125932e+01
    87  2.9445362e+03  7.3455634e-01  3.0130489e-03 -1.8899809e+01
    88  2.9807059e+03  7.5430952e-01  3.0829297e-03 -1.9681513e+01
    89  3.0171227e+03  7.7409964e-01  3.1536544e-03 -2.0470601e+01
    90  3.0537906e+03  7.9390459e-01  3.2252271e-03 -2.1266828e+01
    91  3.0907229e+03  8.1370754e-01  3.2976520e-03 -2.2069633e+01
    92  3.1279207e+03  8.3348958e-01  3.3709333e-03 -2.2878784e+01
    93  3.1654041e+03  8.5323205e-01  3.4450751e-03 -2.3693630e+01
    94  3.2031637e+03  8.7291932e-01  3.5200817e-03 -2.4513923e+01
    95  3.2412198e+03  8.9253172e-01  3.5959573e-03 -2.5339014e+01
    96  3.2795627e+03  9.1205162e-01  3.6727063e-03 -2.6168352e+01
    97  3.3181927e+03  9.3146037e-01  3.7503329e-03 -2.7001389e+01
    98  3.3571203e+03  9.5073833e-01  3.8288414e-03 -2.7837575e+01
    99  3.3963157e+03  9.6986786e-01  3.9082362e-03 -2.8676261e+01
   100  3.4357994e+03  9.8883434e-01  3.9885216e-03 -2.9516797e+01
   101  3.4755618e+03  1.0076191e+00  4.0697020e-03 -3.0358536e+01
   102  3.5156031e+03  1.0261936e+00  4.1517817e-03 -3.1201127e+01
   103  3.5559037e+03  1.0445591e+00  4.2347652e-03 -3.2043521e+01
   104  3.5964641e+03  1.0626771e+00  4.3186570e-03 -3.2885271e+01
   105  3.6372745e+03  1.0805389e+00  4.4034615e-03 -3.3725626e+01
   106  3.6783254e+03  1.0981259e+00  4.4891832e-03 -3.4563738e+01
   107  3.7196070e+03  1.1154295e+00  4.5758269e-03 -3.5399059e+01
   108  3.7610999e+03  1.1324211e+00  4.6633971e-03 -3.6230839e+01
   109  3.8028144e+03  1.1490920e+00  4.7518985e-03 -3.7058230e+01
   110  3.8447308e+03  1.1654138e+00  4.8413361e-03 -3.7880684e+01
   111  3.8868393e+03  1.1813776e+00  4.9317146e-03 -3.8697546e+01
   112  3.9291389e+03  1.1969742e+00  5.0230393e-03 -3.9507837e+01
   113  3.9716184e+03  1.2121744e+00  5.1153151e-03 -4.0311071e+01
   114  4.0142667e+03  1.2269587e+00  5.2085474e-03 -4.1106361e+01
   115  4.0570725e+03  1.2413277e+00  5.3027416e-03 -4.1893024e+01
   116  4.1000346e+03  1.2552623e+00  5.3979032e-03 -4.2670373e+01
   117  4.1431418e+03  1.2687330e+00  5.4940380e-03 -4.3437624e+01
   118  4.1863730e+03  1.2817404e+00  5.5911518e-03 -4.4193990e+01
   119  4.2297269e+03  1.2942654e+00  5.6892507e-03 -4.4938888e+01
   120  4.2731924e+03  1.3062985e+00  5.7883409e-03 -4.5671531e+01
   121  4.3167582e+03  1.3178204e+00  5.8884289e-03 -4.6391136e+01
   122  4.3604031e+03  1.3288218e+00  5.9895212e-03 -4.7097117e+01
   123  4.4041260e+03  1.3392935e+00  6.0916246e-03 -4.7788689e+01
   124  4.4479157e+03  1.3492160e+00  6.1947463e-03 -4.8465069e+01
   125  4.4917510e+03  1.3585900e+00  6.2988933e-03 -4.9125672e+01
   126  4.5356306e+03  1.3673964e+00  6.4040730e-03 -4.9769813e+01
   127  4.5795333e+03  1.3756357e+00  6.5102930e-03 -5.0396708e+01
   128  4.6234481e+03  1.3832886e+00  6.6175611e-03 -5.1005774e+01
   129  4.6673736e+03  1.3903559e+00  6.7258852e-03 -5.1596325e+01
   130  4.7112887e+03  1.3968183e+00  6.8352734e-03 -5.2167579e+01
   131  4.7551728e+03  1.4026764e+00  6.9457340e-03 -5.2718958e+01
   132  4.7990377e+03  1.4079306e+00  7.0572753e-03 -5.3249808e+01
   133  4.8428557e+03  1.4125614e+00  7.1699060e-03 -5.3759581e+01
   134  4.8866293e+03  1.4165891e+00  7.2836346e-03 -5.4247531e+01
   135  4.9303409e+03  1.4199842e+00  7.3984699e-03 -5.4713311e+01
   136  4.9739928e+03  1.4227570e+00  7.5144208e-03 -5.5156073e+01
   137  5.0175674e+03  1.4248979e+00  7.6314961e-03 -5.5575270e+01
   138  5.0610572e+03  1.4264174e+00  7.7497047e-03 -5.5970457e+01
   139  5.1044444e+03  1.4273058e+00  7.8690555e-03 -5.6341085e+01
